Relación,r
turb vs B05,0.8719386363716862
turb vs B08,0.8472458220648036
turb vs B07,0.8462273953308248
turb vs B06,0.8413451420108011
turb vs B04,0.8278600607791272
turb vs B8A,0.743794163279211
turb vs B03,0.6521863272553655
turb vs B02,0.5390400492648112
turb vs B01,0.4570164028263808
turb vs B12,0.3010183967863511
turb vs B11,0.2820291226891647
