turbidez,B01,B02,B03,B04,B05,B06,B07,B08,B11,B12,B8A
2.0,0.1540835648148148,0.15939629629629626,0.17947777777777774,0.16938888888888884,0.1651657407407407,0.14796157407407404,0.1489280092592592,0.14470370370370367,0.1451958333333333,0.1424321759259259,0.14504050925925918
4.0,0.14854004629629627,0.15604814814814813,0.1722074074074074,0.15747777777777774,0.15037731481481478,0.13436597222222216,0.1358087962962963,0.1320333333333333,0.12658425925925923,0.12549606481481476,0.13229351851851842
4.5,0.1420694444444444,0.1512777777777778,0.1640222222222222,0.1466777777777778,0.1388201388888889,0.1235298611111111,0.1259923611111111,0.1234555555555555,0.1176381944444444,0.1165979166666666,0.1217638888888889
5.0,0.1516597222222222,0.1526666666666666,0.1746333333333333,0.1626444444444444,0.1578423611111111,0.1419576388888889,0.1425840277777778,0.1397555555555555,0.1371409722222222,0.1358520833333333,0.1379652777777777
6.0,0.1541236111111111,0.1563444444444444,0.1686333333333333,0.1535,0.1462013888888889,0.1311673611111111,0.1348944444444444,0.134,0.1302840277777777,0.1283055555555555,0.1296576388888889
11.0,0.1583895833333333,0.1601666666666666,0.1828888888888888,0.1716555555555555,0.1677368055555555,0.1450034722222222,0.1472534722222222,0.1416222222222222,0.1401048611111111,0.1375326388888889,0.1408048611111111
15.0,0.1458375,0.1577333333333333,0.1787666666666666,0.1739111111111111,0.1626,0.1321402777777778,0.1332291666666666,0.1266555555555555,0.1170694444444444,0.1139923611111111,0.1245479166666666
15.5,0.1638729166666666,0.1553,0.1895,0.1904,0.1801618055555555,0.1414381944444444,0.1432875,0.1318444444444444,0.14479375,0.1413020833333333,0.1378673611111111
17.0,0.1955715277777777,0.2230666666666666,0.2675111111111111,0.2693111111111111,0.2529979166666666,0.2023645833333333,0.2030423611111111,0.1873,0.1912888888888889,0.1835263888888889,0.1941958333333333
17.5,0.2034416666666667,0.2240444444444444,0.2660666666666667,0.2691555555555556,0.2475659722222222,0.1968909722222222,0.1955493055555555,0.1864111111111111,0.1780027777777778,0.1731409722222222,0.1859819444444444
19.0,0.1916069444444444,0.2238666666666666,0.2622,0.2672666666666666,0.2559361111111111,0.2076645833333333,0.20779375,0.1890666666666666,0.1919145833333333,0.1839659722222222,0.1957944444444444
20.0,0.1827611111111111,0.2141777777777777,0.2476666666666666,0.2557555555555555,0.2456326388888889,0.19409375,0.19316875,0.1833555555555556,0.1731131944444444,0.1686729166666666,0.1817930555555555
21.0,0.1137888888888889,0.1352555555555555,0.1761444444444444,0.1815222222222222,0.1596111111111111,0.1171555555555555,0.1158666666666666,0.1129222222222222,0.1035666666666666,0.1031888888888888,0.1065444444444444
23.0,0.1203666666666666,0.1362,0.1766777777777778,0.1849333333333333,0.1657333333333333,0.1177222222222222,0.1166777777777777,0.1141777777777777,0.1012666666666666,0.1010111111111111,0.1065333333333333
24.0,0.1676097222222222,0.17378888888888888,0.21121111111111107,0.20859444444444442,0.19967604166666664,0.15281701388888885,0.15309618055555554,0.14593888888888884,0.13715277777777773,0.1345743055555555,0.1448100694444444
27.0,0.1149576388888889,0.1321111111111111,0.1709777777777777,0.1850111111111111,0.170975,0.1219,0.1228597222222222,0.1178888888888888,0.1022277777777777,0.1033881944444444,0.1091736111111111
29.0,0.1196666666666666,0.1369444444444444,0.1777555555555555,0.1908555555555555,0.1720555555555555,0.1227,0.1203222222222222,0.1167444444444444,0.1003333333333333,0.1012888888888888,0.1101888888888888
29.5,0.1862708333333333,0.2037333333333333,0.2276777777777777,0.2435555555555555,0.2354270833333333,0.18744375,0.1847597222222222,0.1761555555555555,0.1663451388888888,0.16143125,0.1745548611111111
34.0,0.1168041666666666,0.1341222222222222,0.1721444444444444,0.1943111111111111,0.1808298611111111,0.1277222222222222,0.1279875,0.1239222222222222,0.1012666666666666,0.1023694444444444,0.1137888888888889
35.5,0.1484409722222222,0.1632888888888889,0.1887333333333333,0.1961666666666666,0.1838541666666666,0.1393881944444444,0.1400166666666666,0.1354,0.1156020833333333,0.1130965277777778,0.1282222222222222
39.0,0.1909875,0.2028,0.2300444444444444,0.2455777777777777,0.2435569444444444,0.1946986111111111,0.1972951388888889,0.1833444444444444,0.1723777777777778,0.1666708333333333,0.18200625
39.5,0.2197131944444444,0.2150444444444444,0.2342444444444444,0.2521555555555556,0.2504291666666666,0.2074277777777778,0.2096930555555555,0.1935222222222222,0.19144375,0.1881076388888889,0.1963673611111111
41.0,0.1218666666666666,0.1403888888888889,0.1793111111111111,0.1995111111111111,0.1854222222222222,0.1303444444444444,0.1282333333333333,0.1239,0.1007666666666666,0.1012444444444444,0.1136222222222222
44.0,0.1670479166666666,0.1726555555555555,0.2109,0.2103333333333333,0.2024902777777777,0.1533708333333333,0.15351875,0.145,0.1362138888888888,0.1357201388888889,0.1424222222222222
53.0,0.11856875,0.1346222222222222,0.1718111111111111,0.1982111111111111,0.1905868055555555,0.1365236111111111,0.1365979166666666,0.1317444444444444,0.1017138888888889,0.1015465277777777,0.1211125
54.0,0.1238111111111111,0.1398444444444444,0.1797111111111111,0.2056444444444444,0.1957111111111111,0.1357777777777777,0.1367222222222222,0.1294666666666666,0.1004222222222222,0.1009333333333333,0.1168777777777778
63.0,0.1214104166666666,0.1394,0.1772888888888888,0.2095333333333333,0.20513125,0.1475194444444444,0.1475875,0.1408222222222222,0.1007923611111111,0.1017541666666666,0.1252034722222222
67.5,0.1497180555555555,0.1672555555555555,0.1973222222222222,0.2235111111111111,0.2186083333333333,0.1592916666666666,0.1632284722222222,0.1515444444444444,0.1142409722222222,0.11293125,0.1397826388888889
80.0,0.1933979166666666,0.1985444444444444,0.2538,0.2858888888888888,0.28283125,0.1884666666666666,0.1890458333333333,0.1755888888888888,0.131575,0.1301298611111111,0.1589083333333333
88.0,0.1246555555555555,0.1415222222222222,0.1817777777777778,0.2169777777777777,0.2173111111111111,0.1570333333333333,0.1560777777777778,0.1465777777777777,0.0999,0.1006666666666666,0.1297
94.0,0.11746875,0.1397777777777777,0.1788777777777777,0.2160888888888888,0.2105659722222222,0.1566208333333333,0.15843125,0.1516,0.1013972222222222,0.1016104166666666,0.1329534722222222
127.0,0.1499055555555555,0.1703777777777778,0.2022777777777777,0.2426888888888888,0.2471152777777777,0.1867388888888889,0.1880270833333333,0.1755444444444444,0.1139923611111111,0.1112104166666666,0.1593729166666666
130.0,0.1227034722222222,0.1449333333333333,0.1834777777777778,0.2244888888888888,0.2270013888888888,0.1735986111111111,0.1746861111111111,0.1646333333333333,0.1007083333333333,0.1016361111111111,0.1445770833333333
135.0,0.1221555555555555,0.1446,0.1840444444444444,0.2276222222222222,0.2331111111111111,0.1769222222222222,0.1772111111111111,0.1689666666666666,0.1052555555555555,0.1044555555555555,0.1487888888888889
137.0,0.1245888888888888,0.1448777777777777,0.1836222222222222,0.2266222222222222,0.2321111111111111,0.1748222222222222,0.1766111111111111,0.1651222222222222,0.1018888888888888,0.1023555555555555,0.1423555555555555
161.0,0.1245131944444444,0.1444,0.1835222222222222,0.2291111111111111,0.2353125,0.1806569444444444,0.1832354166666666,0.1760555555555555,0.1032159722222222,0.1027166666666666,0.1521006944444444
168.0,0.1448090277777778,0.1473888888888889,0.1857222222222222,0.2325777777777777,0.2407305555555555,0.1894597222222222,0.1907923611111111,0.1766111111111111,0.1253222222222222,0.1247736111111111,0.1612972222222222
185.5,0.1612895833333333,0.1712555555555555,0.2066444444444444,0.2509111111111111,0.2580583333333333,0.2021701388888888,0.2074902777777778,0.1937222222222222,0.1188923611111111,0.1154618055555555,0.1731375
203.0,0.2123381944444444,0.2460888888888888,0.3090666666666666,0.3640222222222222,0.37245,0.2726340277777778,0.2775652777777778,0.2549111111111111,0.1501694444444444,0.1461340277777778,0.2244270833333333
312.0,0.2179645833333333,0.2473111111111111,0.3110888888888888,0.375,0.3867451388888889,0.2933333333333333,0.2976569444444444,0.2750222222222222,0.1485770833333333,0.1430236111111111,0.2461833333333333
319.0,0.2174201388888888,0.2645333333333333,0.3266444444444444,0.3906,0.3985048611111111,0.3053777777777778,0.3090104166666667,0.2902666666666667,0.1551944444444444,0.1496354166666667,0.2559618055555556
382.0,0.2801215277777777,0.2931555555555555,0.3666222222222222,0.4303333333333333,0.4733826388888889,0.3784472222222222,0.3915743055555555,0.3363555555555556,0.2801520833333333,0.2872534722222222,0.3450722222222222
