ln_turbidez,ln_B01,ln_B02,ln_B03,ln_B04,ln_B05,ln_B06,ln_B07,ln_B08,ln_B11,ln_B12,ln_B8A
0.6931471805599453,-3.49780833079998,-3.3327796409750987,-2.9419915450535314,-3.2540166160016213,-3.542899591649525,-4.024169776473555,-4.0037749605116435,-4.2123849150420645,-4.729554514781551,-5.089315267435352,-4.15555205987977
1.0986122886681098,-3.9768803121065783,-3.5953884838088452,-3.1015450559835838,-3.574120141583593,-3.9749317014980456,-4.867471615164334,-4.883423014525149,-4.8765542114112925,-6.335181828787162,-9.096812722736138,-5.712351280538831
1.3862943611198906,-3.5356211373842283,-3.3115799777774866,-2.9071506328494436,-3.224075984837228,-3.514364189138172,-3.7989104854749085,-3.7737306663049486,-3.9582133595214417,-4.663828605278931,-4.831353380116427,-3.89762510159758
1.5040773967762742,-3.8029019821062477,-3.57789953265044,-3.0906676344035087,-3.5499013858672366,-3.8711363022255334,-4.236200516483278,-4.046759026456332,-4.269575209907767,-9.336780992647807,-7.92783742968983,-4.325143326565127
1.6094379124341003,-3.5098373245869356,-3.5051108502289425,-3.0526122655280594,-3.4078983256660966,-3.727191504753981,-4.499326238933384,-4.380500283762033,-4.960977962962758,-6.223661251205761,-8.615669174546534,-4.702293492595727
1.791759469228055,-3.612098354167138,-3.6024249791461194,-3.106903224066585,-3.4781286969136396,-3.798018162127704,-4.3811052419970675,-4.207153792885953,-4.369552728234066,-6.506873037471927,-7.298779755290536,-4.694782360103902
2.4423470353692043,-3.8894323543725933,-3.428557208748053,-2.882752405905746,-2.8931032319406476,-3.1339912045933587,-4.106817449181061,-4.005444768086519,-4.212330527113546,-9.456131409561786,-7.342093126224155,-4.742750873827838
2.4449523342809676,-3.9043947387447058,-3.4385092492094453,-2.864712238249047,-3.1883155646769183,-3.615541824959117,-4.75127331334058,-4.602532283926721,-4.825138006021157,-6.979395979414102,-8.727143139645964,-5.137772820111605
2.5649493574615367,-3.809551406134181,-3.3989885997718887,-2.8079108060603137,-3.168720361336926,-3.570853765749251,-4.580314615462505,-4.73420916443132,-4.796371297589153,-6.669693716410029,-9.590373340396521,-5.399977609962271
2.6411978941143697,-4.07114242144501,-3.5099542675755293,-2.89441441527888,-3.102688888327796,-3.4626876763109427,-4.171869447884673,-4.424807073264184,-4.644886400223704,-8.88630175312582,-6.3403950373507545,-5.5612531183594305
2.833213344056216,-2.6404579877397625,-2.2952995417597726,-1.9251808093511573,-1.897583986638016,-2.1023785124749907,-2.368189833917694,-2.297121519376257,-2.4808608055479016,-2.5244287956775935,-2.691128551362326,-2.3638794576272852
2.8622008809294686,-2.567861553743084,-2.2916175971366317,-1.9349076905136822,-1.899550339379923,-2.1360791465689766,-2.4097467443555476,-2.365210908009329,-2.502040044619369,-2.6741405446764075,-2.7926241729088614,-2.4422442135370486
2.9444389791664403,-2.6972232397272573,-2.294197118381885,-1.9582080086806084,-1.9113160706579329,-2.09405106970242,-2.3317664640137523,-2.2674096145090537,-2.483236899237995,-2.507327629270291,-2.662845427600711,-2.3661628427518915
2.9947317732204075,-4.157237925290098,-4.162592721933896,-3.543006032841375,-3.6304319531061284,-3.808736243576145,-4.680611936260941,-4.689710137493443,-5.439717686052449,-6.9179620654174325,-7.714123309304347,-5.574375682484084
2.995732273553991,-2.7489229194267972,-2.372893817575005,-2.0480828681092613,-1.9820914994605718,-2.1531121490974727,-2.4487962646786663,-2.393749234598694,-2.54433281288717,-2.7380778250268247,-2.857179398262914,-2.5019702161251955
3.044522437723423,-3.6882223649229116,-3.1665852648917157,-2.5365571882906006,-2.4915191185033714,-2.8124916150970827,-3.822833360725189,-3.882553653183444,-4.119487569137394,-8.288160899139497,-10.369568746382491,-4.624355818057435
3.086943153607375,-4.0802451460547315,-3.490921661421795,-2.9120089506349447,-2.8455851335466784,-3.0833580343977234,-3.984306783795686,-3.993613277896503,-4.1511529306084345,-7.163720322831118,-8.05908623774569,-4.579569280339783
3.1780538303479458,-3.2178601195519008,-3.0578096769944403,-2.5244769405076286,-2.5792321307522394,-2.889675613119235,-3.7530437523958047,-3.708885708378649,-4.022860408401144,-6.831860521136166,-7.864213462819865,-4.188735014366163
3.2991646560970036,-4.075343699332845,-3.520190976423945,-2.930444294443268,-2.7988129477991035,-3.0241863637741546,-3.9326901184132406,-3.9687129646259875,-4.0843007858812745,-7.147112881755334,-8.316802837010242,-4.618607684623161
3.3843902633457743,-2.794230444203307,-2.545224457667197,-2.252576708550044,-2.1306211043245087,-2.3136171223135737,-2.630397570150153,-2.5870254833273125,-2.7466582064825635,-3.0329927804099692,-3.1761313832140274,-2.710654205044516
3.522824869783854,-4.010171041229561,-3.495492532224438,-2.910589423050338,-2.741391500712218,-2.8759015512381962,-3.7086869878778312,-3.7197455951073666,-3.9626837337946115,-6.340834664200644,-9.003543224796383,-4.315075670833141
3.6635616461296463,-2.6930707464475283,-2.488987661771511,-2.1782035916937277,-2.0593236755038644,-2.18024941821607,-2.43457978952519,-2.345259305204252,-2.5262102867502043,-2.763542373746824,-2.9013975698086316,-2.4847506567319586
3.676300671907076,-2.461933392023218,-2.3897537898525685,-2.1502918596484224,-2.0163760639927193,-2.131159267974586,-2.3017091411178083,-2.213905214513478,-2.4136889698505692,-2.4964802214266344,-2.5882561788281615,-2.324409295315033
3.6948615257914836,-4.101510512360257,-3.587829929355645,-2.9488828766220765,-2.6832521922168646,-2.824404797452544,-3.540397555655254,-3.585597402415614,-3.70226296922759,-6.8640640361333976,-10.498212321813726,-4.176922868549013
3.742420221041966,-3.9228531917404195,-3.3716427014085704,-2.8136277194229247,-2.565549306649592,-2.6732722980526398,-3.462292154270601,-3.399704175078075,-3.628320745519669,-6.281092673570768,-10.403100678334363,-4.131808269210927
3.784189633918261,-3.2379283861831807,-2.9240729557847667,-2.421697743151876,-2.4698649701881257,-2.7575698633858834,-3.464807031694664,-3.47999887621715,-3.7007465474429027,-5.06920943765841,-5.279379695505119,-3.8383353700055483
3.842029633607611,-3.45743006699008,-3.369596133631151,-2.8611234459637727,-2.6547309319075736,-2.8520522482507147,-3.482283559728233,-3.505907948774638,-3.4822958143016995,-3.872121986394251,-3.5721305681890505,-3.7002055057497194
4.060443010546419,-3.949311938144701,-3.412061766708265,-2.801604993639523,-2.4557447300386825,-2.503828111536277,-3.1431937292954286,-3.111103704226687,-3.3035903382746503,-6.942706172016144,-9.18634133810569,-3.6420549884049094
4.212127597878484,-3.4751919179008457,-3.1216485508575893,-2.5453736626466794,-2.2585841877070485,-2.346149830527026,-2.953395061550817,-2.8564093169625813,-3.11554378713058,-8.47137989438139,-8.65829949531882,-3.3590725038678695
4.22683374526818,-3.946920687093243,-3.388429101183536,-2.807497333372423,-2.4271764818260793,-2.472419623455459,-3.0884418533105276,-3.00863107542535,-3.1327354290710283,-7.681358361970632,-9.607981385013165,-3.5856061303041056
4.382026634673881,-2.8386584123849934,-2.7468676305891666,-2.160661469257801,-1.9350376203101618,-2.0790675726008097,-2.8215008409749376,-2.73460296803407,-3.0952541586579527,-9.307070766261681,-7.785701452517694,-3.333802455566202
4.68213122712422,-3.9467649490517718,-3.4098326815209328,-2.8359717894582657,-2.3723062890276068,-2.321564129131954,-2.7580419808163605,-2.7262580053919625,-2.8791797459194197,-6.67604689988478,-9.178955832919474,-3.1387156994994565
4.740574822994295,-4.005026042090261,-3.453905861983528,-2.840308322757652,-2.3718586470167367,-2.341134218489714,-2.7977614953013843,-2.736814413937782,-2.9180512352827184,-7.071615864558764,-9.305274889674331,-3.2232946736482866
