Correlación 3,r
turb vs ln_B05,0.8320685663448435
turb vs ln_B08,0.8054558391711554
turb vs ln_B07,0.8047442952289623
turb vs ln_B06,0.7998719643386891
turb vs ln_B04,0.7886878071682116
turb vs ln_B8A,0.6945935333781973
turb vs ln_B03,0.6103314860581781
turb vs ln_B02,0.48570252709266387
turb vs ln_B01,0.3920702640811653
turb vs ln_B12,0.23209953235777364
turb vs ln_B11,0.22137876330386086
