Combinación 4,r
ln_turb vs ln_B05,0.8715355932431691
ln_turb vs ln_B04,0.8089462001295614
ln_turb vs ln_B06,0.8060728432071538
ln_turb vs ln_B07,0.7979593098287806
ln_turb vs ln_B08,0.7867096505555199
ln_turb vs ln_B8A,0.6952100289147479
ln_turb vs ln_B03,0.5463152161030136
ln_turb vs ln_B02,0.44445289806038796
ln_turb vs ln_B01,0.37812312479551535
ln_turb vs ln_B11,0.20091451515114736
ln_turb vs ln_B12,0.1870220981685791
