Combinación 2,r
ln_turb vs B05,0.8021441515073636
ln_turb vs B04,0.7314307555888702
ln_turb vs B06,0.6877484881361472
ln_turb vs B07,0.6807864206688867
ln_turb vs B08,0.674117445632058
ln_turb vs B8A,0.5633595344155534
ln_turb vs B03,0.48341243089355296
ln_turb vs B02,0.38596711790473703
ln_turb vs B01,0.3380653052423335
ln_turb vs B12,0.1940315514839942
ln_turb vs B11,0.17404244671035482
