Combinación 1,r
turb vs B05,0.8845797792042988
turb vs B06,0.8661175559411228
turb vs B08,0.8570187473230539
turb vs B07,0.8564160257893557
turb vs B04,0.8128871368727273
turb vs B8A,0.7647138242894128
turb vs B03,0.6439007041867969
turb vs B02,0.5771696551615362
turb vs B01,0.5712935961145317
turb vs B12,0.39598089306608997
turb vs B11,0.37298196447831705
