Combinación 4,r
ln_turb vs ln_B05,0.8445064102876376
ln_turb vs ln_B04,0.7875655449966439
ln_turb vs ln_B06,0.7708889430566442
ln_turb vs ln_B07,0.7542351225901535
ln_turb vs ln_B08,0.7409437136034536
ln_turb vs ln_B8A,0.6617969618570168
ln_turb vs ln_B03,0.5338583200511479
ln_turb vs ln_B02,0.4478927082429152
ln_turb vs ln_B01,0.39798289820300176
ln_turb vs ln_B11,0.25061821384719196
ln_turb vs ln_B12,0.2232529063139079
