Combinación 3,r
turb vs ln_B05,0.7340572322073433
turb vs ln_B06,0.7174905931680897
turb vs ln_B07,0.7061539657772605
turb vs ln_B04,0.6997967617042548
turb vs ln_B08,0.6989866012475785
turb vs ln_B8A,0.6411090834419467
turb vs ln_B03,0.5987078582048889
turb vs ln_B02,0.5439497170999975
turb vs ln_B01,0.5332578805313462
turb vs ln_B11,0.3523441760098341
turb vs ln_B12,0.3512685744310373
